id,sentence_1,sentence_2,sentence_3,sentence_4
26,A stranger lost a secret garden at the train station.,A scientist imagined an ancient scroll while the crowd cheered.,A young boy fixed a secret garden as the clock struck midnight.,A stranger discovered a hidden door in the future.
27,An artist watched a hidden door while the crowd cheered.,The bird imagined a mysterious song during the festival.,A programmer lost a small village on a rainy day.,The teacher watched a beautiful painting as the clock struck midnight.
28,A doctor created a hidden door as the clock struck midnight.,A scientist destroyed a time capsule at the train station.,The student discovered a secret garden inside the library.,A young boy imagined a mysterious song as the clock struck midnight.
29,An old man lost a secret garden inside the library.,A programmer found a lost civilization in the future.,A programmer fixed a strange machine in the future.,A programmer built a hidden door during the festival.
30,The bird created a secret garden as the clock struck midnight.,The robot studied a hidden door as the clock struck midnight.,An old man imagined a broken mirror before sunrise.,An artist built a broken mirror before sunrise.
31,A doctor fixed a new planet while the crowd cheered.,The student fixed a powerful device in the future.,A doctor imagined a powerful device during the festival.,The student painted a mysterious song at the train station.
32,A young boy wrote a new planet near the river.,The traveler dreamed of a broken mirror during the festival.,The bird lost an ancient scroll before sunrise.,An old man fixed a hidden door as the clock struck midnight.
33,A programmer forgot a lost civilization as the clock struck midnight.,The student created a lost civilization while the crowd cheered.,The musician lost a strange machine near the river.,The cat lost a small village on a rainy day.
34,The traveler watched a hidden door as the clock struck midnight.,An old man lost a powerful device at the train station.,The robot followed a secret garden at the train station.,The robot imagined a lost civilization while the crowd cheered.
35,A programmer fixed a lost civilization while the crowd cheered.,A scientist fixed an ancient scroll while the crowd cheered.,The musician lost a secret garden before sunrise.,The child studied an ancient scroll near the river.
36,A doctor wrote a broken mirror near the river.,The robot analyzed a strange machine in the future.,A stranger forgot a time capsule while the crowd cheered.,A stranger forgot a strange machine in the future.
37,An old man wrote a secret garden beneath the mountains.,The student lost a lost civilization in the future.,A programmer followed a hidden door at the train station.,The student analyzed a time capsule in the forest.
38,A young boy found a mysterious song during the festival.,An artist created a mysterious song near the river.,A programmer forgot a small village beneath the mountains.,A programmer lost a powerful device as the clock struck midnight.
39,An artist analyzed a new planet in the future.,An old man studied a new planet in the future.,A programmer fixed a small village under the full moon.,A young boy followed a small village beneath the mountains.
40,A young boy lost a mysterious song on a rainy day.,An artist watched a secret garden as the clock struck midnight.,The traveler dreamed of a time capsule near the river.,The bird found a powerful device in the forest.
41,An old man watched a broken mirror while the crowd cheered.,The student fixed a beautiful painting near the river.,The musician imagined a broken mirror before sunrise.,An old man found a new planet near the river.
42,The bird watched a lost civilization inside the library.,A scientist fixed a secret garden before sunrise.,An artist lost a small village in the future.,The teacher studied a mysterious song before sunrise.
43,A stranger wrote a secret garden near the river.,The traveler imagined a new planet while the crowd cheered.,The child built a mysterious song in the forest.,A young boy dreamed of a powerful device in the forest.
44,The student found a powerful device on a rainy day.,A programmer forgot an ancient scroll near the river.,A scientist created a powerful device beneath the mountains.,An old man lost a time capsule near the river.
45,A programmer lost a lost civilization under the full moon.,A programmer analyzed a small village under the full moon.,A stranger painted a mysterious song at the train station.,A stranger analyzed an ancient scroll as the clock struck midnight.
46,A programmer dreamed of a beautiful painting in the forest.,The child painted a hidden door in the future.,The robot dreamed of a time capsule inside the library.,An old man studied a lost civilization inside the library.
47,A programmer watched a lost civilization near the river.,A stranger studied a broken mirror as the clock struck midnight.,A doctor destroyed a time capsule inside the library.,The child studied a new planet under the full moon.
48,An old man forgot a secret garden while the crowd cheered.,The robot watched a hidden door in the future.,The child found a new planet beneath the mountains.,A doctor analyzed a mysterious song beneath the mountains.
49,A programmer fixed a hidden door before sunrise.,The bird forgot an ancient scroll in the future.,The teacher found a small village at the train station.,The robot dreamed of a lost civilization near the river.
50,The traveler studied a new planet inside the library.,The child painted a small village beneath the mountains.,A programmer lost a strange machine beneath the mountains.,The student imagined a broken mirror beneath the mountains.
51,An artist painted a beautiful painting as the clock struck midnight.,The teacher watched an ancient scroll during the festival.,A scientist lost a strange machine near the river.,An artist followed a mysterious song during the festival.
52,The teacher found a lost civilization on a rainy day.,An artist found a time capsule near the river.,An artist wrote a new planet under the full moon.,The bird studied a strange machine on a rainy day.
53,A programmer followed a hidden door inside the library.,The child forgot a time capsule as the clock struck midnight.,The traveler discovered a mysterious song at the train station.,A programmer followed a lost civilization on a rainy day.
54,A stranger created a lost civilization under the full moon.,An artist fixed a strange machine during the festival.,The student lost a time capsule while the crowd cheered.,A stranger forgot a time capsule during the festival.
55,The traveler fixed a small village during the festival.,The robot fixed an ancient scroll under the full moon.,A doctor forgot a broken mirror inside the library.,The robot found a small village beneath the mountains.
56,An old man lost a powerful device on a rainy day.,An old man built an ancient scroll near the river.,A programmer dreamed of a hidden door during the festival.,The teacher forgot a strange machine beneath the mountains.
57,The cat painted a new planet near the river.,A young boy found a hidden door in the forest.,A programmer studied an ancient scroll near the river.,The student destroyed a lost civilization on a rainy day.
58,A programmer imagined a lost civilization as the clock struck midnight.,The teacher wrote a strange machine near the river.,The teacher studied a strange machine as the clock struck midnight.,The child dreamed of a small village near the river.
59,The student imagined a mysterious song inside the library.,The bird fixed a mysterious song on a rainy day.,A scientist found a strange machine inside the library.,A stranger watched a new planet while the crowd cheered.
60,The cat analyzed an ancient scroll inside the library.,The teacher wrote a beautiful painting while the crowd cheered.,A young boy discovered a hidden door inside the library.,The cat followed a broken mirror at the train station.
61,The traveler studied a small village at the train station.,An artist watched a lost civilization in the forest.,The cat destroyed a mysterious song before sunrise.,A doctor created a broken mirror under the full moon.
62,An old man forgot a new planet near the river.,A scientist found a new planet beneath the mountains.,The teacher studied a new planet before sunrise.,A programmer wrote a lost civilization inside the library.
63,A doctor watched an ancient scroll beneath the mountains.,The bird analyzed a small village on a rainy day.,A young boy followed a broken mirror in the future.,The cat painted a new planet during the festival.
64,A doctor found a lost civilization inside the library.,A young boy destroyed an ancient scroll at the train station.,The traveler imagined a powerful device on a rainy day.,A doctor forgot a time capsule under the full moon.
65,An artist destroyed a new planet before sunrise.,The student fixed an ancient scroll near the river.,The bird studied a broken mirror under the full moon.,A programmer forgot a broken mirror near the river.
66,The musician built a hidden door while the crowd cheered.,An artist fixed a time capsule on a rainy day.,A doctor analyzed a powerful device before sunrise.,The bird forgot a new planet on a rainy day.
67,An old man found a lost civilization before sunrise.,The teacher found a small village beneath the mountains.,An old man found a powerful device on a rainy day.,The musician destroyed a time capsule on a rainy day.
68,A programmer forgot an ancient scroll as the clock struck midnight.,A young boy wrote a hidden door under the full moon.,An old man lost a secret garden under the full moon.,The traveler built a mysterious song under the full moon.
69,The student followed a strange machine near the river.,The robot imagined a powerful device at the train station.,A stranger watched a strange machine inside the library.,A programmer watched a lost civilization during the festival.
70,An artist built a mysterious song as the clock struck midnight.,A stranger forgot a hidden door in the forest.,The child found a broken mirror on a rainy day.,A young boy lost a broken mirror as the clock struck midnight.
71,A doctor imagined a new planet at the train station.,A scientist painted an ancient scroll near the river.,The cat forgot a beautiful painting inside the library.,A scientist created a broken mirror while the crowd cheered.
72,A scientist created a hidden door under the full moon.,The bird destroyed a small village beneath the mountains.,An old man discovered a hidden door inside the library.,A stranger forgot a mysterious song beneath the mountains.
73,The bird destroyed a powerful device in the forest.,The musician wrote a strange machine on a rainy day.,A programmer dreamed of a small village in the forest.,The teacher analyzed a mysterious song beneath the mountains.
74,The student discovered an ancient scroll at the train station.,The teacher dreamed of a small village as the clock struck midnight.,The musician wrote a broken mirror inside the library.,A doctor studied a hidden door inside the library.
75,The bird created a new planet at the train station.,The child destroyed a beautiful painting under the full moon.,An artist lost an ancient scroll inside the library.,The teacher created a hidden door in the future.
76,The bird wrote a small village on a rainy day.,A young boy wrote a powerful device under the full moon.,The cat fixed a secret garden near the river.,A young boy wrote a powerful device inside the library.
77,The traveler found an ancient scroll near the river.,An old man imagined a powerful device beneath the mountains.,The traveler dreamed of a new planet in the future.,The traveler analyzed a beautiful painting near the river.
78,A stranger destroyed a strange machine beneath the mountains.,The child lost an ancient scroll while the crowd cheered.,The student imagined an ancient scroll inside the library.,The student watched a strange machine while the crowd cheered.
79,The student built a powerful device before sunrise.,The child dreamed of a lost civilization on a rainy day.,A programmer studied a new planet on a rainy day.,The child forgot an ancient scroll before sunrise.
80,A young boy fixed a new planet inside the library.,A scientist wrote an ancient scroll near the river.,A stranger built an ancient scroll in the future.,The robot fixed a mysterious song while the crowd cheered.
81,The teacher analyzed an ancient scroll beneath the mountains.,The child found a lost civilization beneath the mountains.,The child studied a hidden door under the full moon.,A programmer fixed a strange machine during the festival.
82,The cat imagined a lost civilization under the full moon.,The teacher built a powerful device in the forest.,A stranger studied a hidden door near the river.,A scientist destroyed a new planet in the forest.
83,The traveler discovered a beautiful painting inside the library.,The bird lost a secret garden while the crowd cheered.,A programmer forgot a powerful device at the train station.,The bird dreamed of a broken mirror near the river.
84,The traveler lost a broken mirror on a rainy day.,An old man discovered a powerful device on a rainy day.,The musician destroyed a beautiful painting near the river.,The robot studied a broken mirror under the full moon.
85,A programmer found a lost civilization at the train station.,An old man forgot a small village under the full moon.,The robot destroyed an ancient scroll in the forest.,An artist found a powerful device before sunrise.
86,An old man imagined a beautiful painting beneath the mountains.,The student forgot a powerful device inside the library.,A programmer discovered a small village while the crowd cheered.,A stranger followed a small village at the train station.
87,A scientist discovered a lost civilization at the train station.,A programmer followed a new planet under the full moon.,The cat built a strange machine in the forest.,The student imagined a hidden door beneath the mountains.
88,The cat lost a small village on a rainy day.,A programmer built a time capsule near the river.,The student dreamed of a hidden door as the clock struck midnight.,A stranger destroyed a strange machine at the train station.
89,A programmer painted a lost civilization in the forest.,The child studied a hidden door beneath the mountains.,A young boy imagined a time capsule before sunrise.,A doctor dreamed of a new planet on a rainy day.
90,A stranger followed a lost civilization while the crowd cheered.,A stranger painted a powerful device during the festival.,A stranger destroyed a beautiful painting beneath the mountains.,The student wrote an ancient scroll inside the library.
91,A stranger imagined a new planet under the full moon.,The child destroyed a hidden door as the clock struck midnight.,The student found a beautiful painting at the train station.,The bird painted a strange machine on a rainy day.
92,A doctor destroyed a beautiful painting on a rainy day.,The teacher built a strange machine on a rainy day.,The robot discovered a time capsule in the forest.,A programmer dreamed of a mysterious song near the river.
93,A scientist followed a hidden door beneath the mountains.,A scientist painted a lost civilization while the crowd cheered.,The child fixed a strange machine in the forest.,A stranger watched a broken mirror in the future.
94,An old man analyzed a mysterious song before sunrise.,The child created a powerful device in the future.,A doctor dreamed of a hidden door before sunrise.,The student created a beautiful painting while the crowd cheered.
95,A programmer found a strange machine as the clock struck midnight.,The cat imagined a strange machine while the crowd cheered.,A stranger destroyed a lost civilization on a rainy day.,The bird watched a strange machine under the full moon.
96,The child built a secret garden near the river.,The student created a time capsule in the forest.,A young boy followed a small village before sunrise.,The traveler built a hidden door during the festival.
97,The cat discovered a beautiful painting inside the library.,A programmer destroyed a broken mirror during the festival.,The child dreamed of a strange machine on a rainy day.,The cat lost a lost civilization at the train station.
98,The robot forgot a beautiful painting while the crowd cheered.,The child discovered a mysterious song inside the library.,A doctor created a mysterious song while the crowd cheered.,The teacher painted a small village as the clock struck midnight.
99,A doctor followed a secret garden in the future.,A programmer painted a time capsule as the clock struck midnight.,The cat destroyed a broken mirror during the festival.,The child painted a lost civilization inside the library.
100,An old man forgot a new planet near the river.,A scientist wrote a broken mirror before sunrise.,An artist dreamed of a time capsule before sunrise.,A stranger created a time capsule before sunrise.
